"X","Age","HighestEducation","HeightInches","WeightPounds","DivorceCount","LongestRelationship","RelationshipNumber","ChildrenNumber","HouseholdIncome","RetirementAccount","RetirementPercentStocks","MortgageDebt","CarDebt","EducationDebt","CreditCardDebt","OtherDebtAmount","CoffeeCupsPerDay","TeaCupsPerDay","CaffienatedSodaCansPerDay","CaffieneOtherSourcesDayMG","TrafficTicketsLastYearCount","TrafficAccidentsLifeCount","ArrestedChargedLifeCount"
"s005",36,3,76,175,0,18,5,0,36000,0,NA,1,1,1,1,NA,0,0,0,0,0,3,5
"s007",32,3,64,130,0,84,3,3,98000,0,NA,1,1,1,3,NA,0,0,0,0,0,3,0
"s009",26,4,72,244,0,17,3,0,8000,0,NA,1,1,4,1,1,1,2,0,0,0,0,0
"s011",27,3,72,320,1,65,3,0,25000,0,0,NA,NA,4,1,5,0,0,2,160,0,0,0
"s012",36,3,68,268,0,144,4,4,40000,0,NA,1,1,4,1,NA,1,0,0,200,0,2,0
"s014",28,1,68,240,0,100,2,1,15000,0,0,NA,NA,NA,NA,NA,0,0,4,120,0,0,0
"s015",27,2,75,200,0,36,3,0,24000,1,0,1,1,1,1,NA,0,1,1,400,0,0,0
"s017",31,4,69,180,0,36,5,0,45000,1,90,1,4,1,1,NA,3,1,0,0,0,0,0
"s026",38,4,71,195,0,48,5,0,30000,0,0,1,7,1,1,1,0,0,0,0,0,2,0
"s027",30,3,73,210,0,60,2,0,15000,0,NA,1,1,1,1,1,2,1,0,0,0,2,0
"s028",31,4,66,20,0,48,5,4,35000,1,NA,1,4,4,3,NA,2,0,0,0,0,2,0
"s032",38,3,73,240,1,146,6,1,78000,1,25,7,1,1,1,NA,2,0,2,0,0,2,0
"s034",28,3,61,199,0,88,5,1,35000,1,0,1,1,3,1,NA,1,0,0,0,0,1,0
"s042",28,4,65,125,0,36,2,0,49000,0,NA,1,1,1,1,2,0,0,0,0,0,1,0
"s049",59,2,66,175,0,300,1,2,98000,0,NA,NA,4,1,2,NA,2,0,1,0,0,0,0
"s060",49,4,64,145,0,24,3,0,25000,0,NA,1,1,1,2,NA,0,4,1,0,0,2,0
"s062",26,6,66,132,0,12,2,0,70000,0,NA,1,1,8,2,NA,2,2,4,0,0,0,0
"s063",40,3,63,190,0,48,3,4,28000,0,NA,1,1,3,2,NA,1,1,1,0,0,2,0
"s065",28,4,50,114,0,0,0,0,50000,0,NA,1,1,4,1,NA,1,0,2,0,0,0,0
"s066",27,4,66,167,0,65,3,2,66000,1,3,2,6,4,2,NA,0,0,0,0,0,2,0
"s071",40,3,64,200,1,140,5,1,99000,1,30,6,1,1,1,6,5,1,0,0,1,1,0
"s081",42,4,69,180,0,36,3,0,43800,0,NA,1,3,1,2,NA,0,0,6,0,0,0,0
"s082",29,2,70,220,0,0,0,0,30000,0,NA,1,1,1,1,1,0,0,2,0,0,0,0
"s083",50,3,68,265,0,36,6,0,14000,0,NA,1,1,1,1,NA,0,0,5,0,0,5,4
"s084",46,3,72,280,0,216,4,3,79000,1,20,2,1,1,1,NA,2,1,3,0,0,1,0
"s085",36,4,65,135,0,6,3,0,65000,0,NA,1,1,1,1,NA,0,0,0,0,0,3,0
"s086",24,4,67,145,0,27,2,0,75000,0,NA,NA,1,5,1,NA,0,1,0,0,0,0,0
"s089",32,3,62,125,0,180,1,2,35000,0,NA,7,1,1,5,NA,0,0,0,0,0,2,1
"s091",30,4,67,135,0,127,2,0,80000,0,NA,1,3,3,2,NA,3,0,0,0,0,0,0
"s092",33,3,66,150,0,144,3,3,80000,1,0,1,7,8,3,NA,0,0,2,35,0,1,0
