,NBZD,NBZN,NBZT,NBMEANLD,ARTKCLCK,ARTKLPC,ARTKSCOR,ARTRCLCK,ARTRLPC,ARTRSCOR,ANTNTRZD,ANTNTRZN,ANTNTRZT,ANTALTAC,ANTALTRT,ANTCONAC,ANTCONRT,ANTORTAC,ANTORTRT,BISATTII,BISMOTII,BISNPLII,BBASDRIV,BBASFUNS,BBASRWRD,BBASBIS,BSCSSCON,CRTZD,CRTZN,CRTZT,CGRSCRP,CGRSINTP,CCTCAVCC,CCTCGAIN,CCTCINFO,CCTCLOSS,CCTCPROB,CCTHAVCC,CCTHGAIN,CCTHINFO,CCTHLOSS,CCTHPROB,DIIDYSF,DIIFUNC,DDTHEALT,DDTTASTE,DGSFORWD,DGSREVRS,DRFPSZD,DRFPSZN,DRFPSZT,DRFPINAC,DRFPINRT,DSTGLM,DSTNM,DSTPCTP,DPTEEB,DPTFEB,DPTHEB,DPTREB,DPTSEB,DPTERP,DPTFRP,DPTHRP,DPTRRP,DPTSRP,DPTERT,DPTFRT,DPTHRT,DPTRRT,DPTSRT,DPEAYBAC,DPEAYBRT,DPEBXBAC,DPEBXBRT,DPEAXZD,DPEAYZN,DPEAXZT,DPEDPRIM,TFEQCGRS,TFEQEEAT,TFEQUEAT,ERQREAP,ERQSUPP,FFMQAWAR,FFMQDESC,FFMQNJUD,FFMQNREA,FFMQOBSV,FTPSFTP,GNGDRPIM,GRTSGRIT,HIRSCOR,HLTNOS,HLTSFCH,IMVIMPLS,IMVVNTUR,ISTDECPC,ISTDECAC,ISTDECOP,ISTDECMV,ISTFXDPC,ISTFXDAC,ISTFXDOP,ISTFXDMV,KTTSCOR,KRBHDR,KRBPCTP,LCATACTL,LOGZDNEU,LOGZNNEU,LOGZTNEU,LOGCONAC,LOGCONRT,LOGCFCAC,LOGCFCRT,LOGICHAC,LOGICHRT,LOGSWCAC,LOGSWCRT,MAASMIND,MOSZD,MOSZN,MOSZT,MOSSSRT,MOSREC,MOSSPC,MPQCOTR,PRSNEGAC,PRSOVTAC,PRSPOSAC,PRSPLB,PRSRPLB,PRSRVS,PRPSLOPE,PRPSLOW,PRPTAOAC,PRPTATAC,RPMSCOR,REPXZD,REPXZN,REPXZT,REPPINAC,REPPINRT,SOCSCOM,SOCSELSE,SOCSLBSE,SOCSOPT,SSRQCOTR,SSSBORED,SSSDISIN,SSSEXPSK,SSSTHRIL,SHFTAC,SIMCGZD,SIMCGZN,SIMCGZT,SIMSIMAC,SIMSIMRT,SPSFORWD,SPSREVRS,STSZD,STSZN,STSZT,STSSSRT,SSZD,SSZN,SSZT,SSSSRTHI,SSSSRTLO,SSPASS,SSPAS,STRCGZD,STRCGZN,STRCGZT,STRSTRAC,STRSTRRT,TIPIAGRE,TIPICONS,TIPIEMST,TIPIEXTR,TIPIOPEN,TXTCSTZD,TXTCSTZN,TXTCSTZT,TXTCSCRT,TXTTAIOR,TXTTSCRT,ZTPIFUTR,ZTPIPNEG,ZTPIPPOS,ZTPIPRFA,ZTPIPRHE,TOLAVGMT,TOLNUMRT,TOLOPTSL,TOLPLNTM,TOLTOTMV,TSTMODBA,TSTMODFR,UPPLPERS,UPPLPREM,UPPNEGUR,UPPPOSUR,UPPSENSE,WRTNEUPR,WRTPOSPR
s002,0.607578112,-0.3708128516,1.1408363252,1.2,-386.5652173913,-0.2333333333,453.0,-817.1923076923,-0.1333333333,325.0,3.4366837378,-0.5393568259,1.3250788373,0.0,-67.0,-0.0208333333,-120.0,-0.0277777778,36.5,-21.0,-24.0,-30.0,12.0,13.0,17.0,11.0,33.0,3.2669251098,-0.30647212560000003,1.1912793123,0.1666666667,-0.1666666667,11.75,-0.0666666667,0.0,-7.285838599000001e-17,-2.25,8.0833333333,0.037762384600000004,0.0,-0.001822838,0.33501259450000004,-13.0,15.0,0.1387440396,-0.43240473690000003,8.0,10.3,1.6075524190000001,-0.7248624401,1.7438687210000001,-0.1764705882,39.5,-1.0946069548,-0.0,0.1944444444,12.0,6.0,10.0,10.0,20.0,28.0,39.0,27.0,22.0,11.0,13.0,6.0,16.0,22.0,34.0,-0.0625,530.0,0.125,87.0,2.2768182362,-0.608088968,1.6468174826,0.9770114943,16.6666666667,-77.7777777778,-70.3703703704,5.8333333333,1.75,31.0,32.0,33.0,22.0,32.0,49.0,0.8,28.0,111.0,1.0,6.0,-27.0,22.0,0.7541481018,0.7000000000000001,15.2,0.0017554871,0.7393355608000001,0.7000000000000001,9.9,0.0013716979000000002,0.5277777778,-0.0063068791,0.2222222222,4.0,0.4081114075,-0.48553962840000003,1.3712328978000001,-0.2128205128,-160.5,-0.23030303030000002,38.5,0.0174825175,-199.0,-0.15476190480000002,-79.5,4.0666666667,,,,,,,38.0,,,,,,,0.5320132074,358.0,0.9833333333000001,0.9777777778000001,4.0,1.2643041066,-0.8708362581,1.4171902629,-0.1111111111,70.0,,,,,122.0,0.2,0.2,0.6000000000000001,0.1,,3.0250920992,-0.4557912947,1.0505643221,-0.06,-52.5,4.8,6.1,2.6246687304,-0.4639697253,1.1195979994,-294.8333333333,2.1243416333,-0.4286330571,1.2233676865,-307.0,-332.6666666667,25.6666666667,149.2652777778,2.6691375375,-0.4215569675,1.4424687928,0.0208333333,-140.0,6.0,4.0,6.0,5.0,6.5,1.6069028785000001,-0.4062490112,2.0031551801,-226.0,109.5,-61.5,2.75,2.8,4.6666666667,3.0,4.1333333333,611.0,10.0,8.0,3032.0,54.0,-0.16486882220000001,0.23897679430000002,-15.0,-23.0,-36.0,-46.0,37.0,0.8172749921,0.1922162034
s005,0.7301820711,-0.384326483,1.1070429208,1.65,-677.1363636364,-0.2666666667,750.0,-1597.05,-0.33333333330000003,580.0,3.0874806825,-0.3760749258,1.4749491122,0.0,17.0,0.0,-61.5,0.0,30.0,-13.0,-20.0,-20.0,12.0,13.0,19.0,16.0,41.0,,,,0.8333333333,-0.1666666667,13.4166666667,0.275,3.0,-0.0306666667,-2.9166666667000003,13.0416666667,0.4185577722,3.0,-0.0250756442,-3.7905236908,-12.0,19.0,0.2518581217,-1.2169609029,9.2,8.0,0.7269600109000001,-0.5784818183,0.9534873585,-0.3888888889,-149.0,-0.0341010807,-0.024579341,0.1666666667,12.0,16.0,6.0,12.0,21.0,33.0,37.0,36.0,37.0,24.0,10.0,9.0,16.0,9.0,28.0,0.1875,-56.5,0.1833333333,-121.5,3.2849800124,-0.40925291610000003,1.3594932395,0.9219696970000001,27.7777777778,-0.0,-40.7407407407,4.8333333333,5.0,36.0,31.0,23.0,30.0,37.0,46.0,0.8063492063000001,28.0,174.0,1.0,6.0,-20.0,21.0,0.7475608826,1.0,10.0,0.0009119887,0.920829773,0.9,16.7,0.001067059,0.5555555556,-0.0063068791,0.2962962963,4.0,2.8168492273,-0.5152780375,1.5327366732,-0.0344827586,-164.5,0.0,28.5,-0.0344827586,-193.0,-0.022222222200000002,-65.0,5.0666666667,3.0139742749,-0.3808721405,1.0564086735,-295.6666666667,-7.0,114.0,43.0,,,,,,,0.6320956121,512.5,0.9744897959000001,0.9846938776,14.0,1.8571420586,-0.5638438108,1.4929330309,-0.0555555556,-96.0,0.6666666667000001,0.75,1.0,0.8333333333,131.0,0.0,0.7000000000000001,0.7000000000000001,0.4,0.0445575732,3.0353332478,-0.342011838,1.5138765582,0.0,-4.5,6.5,5.1,3.2071295065,-0.4379239851,0.9946240966000001,-379.1666666667,3.459198513,-0.4499491098,0.9691283125000001,-250.1666666667,-309.0,58.8333333333,50.9333333333,4.3988105461,-0.440089973,1.0352518809,0.0,-59.0,6.0,5.0,7.0,3.0,6.0,2.4961490137,-0.4451980465,1.2196877755,3.5,-3.1666666667,-52.0,3.8333333333,3.1,3.3333333333,2.2222222222,3.2666666667,675.0,9.0,7.0,2468.5,65.0,-1.2107524913,1.5888186252,-17.0,-15.0,-21.0,-14.0,34.0,0.8868519986000001,0.4059011843
s006,0.648444223,-0.3132448781,1.1294231142,1.4,-1455.0555555556,-0.4,736.0,-455.4166666667,-0.2,750.0,3.6953826693,-0.4209448436,1.2323153782,-0.0555555556,34.5,-0.1458333333,-77.0,-0.1388888889,63.5,-14.0,-30.0,-26.0,13.0,16.0,20.0,21.0,34.0,1.3521995353,-0.22969390480000001,1.2788342749,0.1666666667,-0.8333333333,19.5833333333,-0.0166666667,1.0,0.0006666667,1.0,28.2173913043,-0.18391812870000002,2.0,0.0043567251,-2.6725146199000003,-21.0,18.0,-0.011319034700000001,0.0127370793,8.5,8.5,1.4635587809000001,-0.40455885900000005,1.3991189627,-0.07638888890000001,-328.5,-0.0003501401,-0.0003501401,1.0,6.0,6.0,6.0,9.0,9.0,42.0,42.0,42.0,42.0,42.0,12.0,6.0,12.0,6.0,6.0,-0.25,478.0,-0.25,79.5,2.6702683571,-0.5644620396,1.3952505625,0.7264705882,33.3333333333,-0.0,-0.0,4.3333333333,5.25,38.0,20.0,39.0,7.0,14.0,53.0,0.8222222222000001,28.0,139.0,0.0,0.0,-29.0,23.0,0.527438736,0.6000000000000001,3.1,0.0017382296,0.7636162281000001,0.8,11.0,0.0020427238,0.5,-0.0063068791,0.037037037,5.0,1.8040537407000001,-0.5080132341,1.4217699282,-0.1771929825,-233.0,-0.038095238100000005,-71.0,-0.1390977444,-162.0,-0.2272727273,-118.0,3.8,,,,,,,44.0,,,,,,,0.4031998195,270.0,0.8423913043,0.7880434783,4.0,0.9322779193,-0.055810681800000005,2.5390750602,-0.1633986928,-74.0,0.30000000000000004,0.1666666667,0.6666666667000001,0.5833333333,111.5,0.6000000000000001,0.6000000000000001,0.7777777778,0.4,0.0212836617,1.7513326776,-0.3049686753,1.5462797192000002,-0.0833333333,-87.0,5.3,4.9,,,,,1.6243739486000002,-0.4036620406,1.1569474885,-336.1666666667,-303.1666666667,-33.0,69.3263888889,2.4611039411,-0.40163877130000003,1.5556601786000002,-0.0222016651,-146.0,7.0,7.0,7.0,7.0,7.0,1.333374934,-0.5007865926,1.1918892162999999,-1.5,30.3333333333,-26.0,3.8333333333,4.1,4.1111111111,3.2222222222,4.1333333333,711.5,10.0,4.0,2997.0,67.0,-0.4553857187,1.0327010837,-18.0,-24.0,-35.0,-38.0,33.0,0.8338361601000001,0.4540214179
s007,,,,1.05,-782.9230769231,-0.1333333333,470.0,-244.16,-0.1666666667,340.0,2.0924735558,-0.3945213477,1.8399982122,0.0833333333,23.0,-0.1063829787,-121.5,-0.026984127,71.0,-18.0,-22.0,-26.0,13.0,11.0,18.0,24.0,49.0,2.2562299499,-0.2863412876,1.4962480105,0.1666666667,-0.6666666667000001,4.8333333333,0.033333333300000004,0.0,0.0013333333,-0.4166666667,13.0416666667,0.2115478865,1.0,-0.0035254237,0.8082499489,-14.0,18.0,0.429502064,-0.5991357069000001,9.6,6.4,-0.44000233800000005,-0.8119166448,1.3775740519,-0.36274509800000004,-129.0,-0.1154416374,-0.011789170600000001,0.3611111111,16.0,33.0,10.0,20.0,25.0,26.0,33.0,32.0,33.0,13.0,13.0,31.0,21.0,31.0,37.0,0.0,425.0,-0.125,40.5,2.5498715474,-0.6562196661,1.3021159135,0.7151162791,61.1111111111,-11.1111111111,-33.3333333333,5.3333333333,5.25,26.0,23.0,24.0,25.0,26.0,50.0,0.6952380952,22.0,98.0,1.0,9.0,-22.0,23.0,0.8018417358000001,0.9,11.9,0.0007886168000000001,0.8767990112,1.0,15.7,0.0012070223,0.7777777778,-0.0063068791,0.2592592593,2.0,1.6366009165,-0.5539616394,1.543277056,-0.4356617647,-184.5,0.019675925900000002,-119.0,-0.4553376906,-65.5,0.006410256400000001,53.0,3.8,,,,,,,43.0,0.3888888889,0.5222222222,0.6666666667000001,1.7142857142999999,-2.3008930289,1.5540518588,0.5112262406,287.0,0.9427083333,0.9375,10.0,1.4964169609,-0.8657334906,1.8733818542,0.0,-409.5,0.5,0.5833333333,0.5,0.9166666667000001,110.5,0.6000000000000001,0.4,0.6000000000000001,1.0,0.006016204000000001,3.2080525053,-0.3475188061,1.4323705246,-0.04,-46.0,5.1,5.4,1.9230937277,-0.6524028355,1.0780399826,-416.3333333333,2.0539005018,-0.4862316359,1.1370438411000001,-343.1666666667,-437.0,93.8333333333,-0.08750000000000001,2.2252213831,-0.6825390516000001,1.3890943512,-0.0495449949,-61.5,4.5,6.0,3.5,3.0,4.5,1.0575673154,-0.44197469640000003,1.2841957806,25.0,110.5,-232.0,3.75,4.0,3.2222222222,3.3333333333,3.4666666667,905.5,9.0,8.0,5822.0,41.0,,,-22.0,-23.0,-38.0,-31.0,36.0,0.8621573749,0.6821860019
s009,2.653791954,-0.3279918381,0.8343435258,2.7,-1156.5652173913,-0.2333333333,615.0,-501.0434782609,-0.2333333333,420.0,3.0735302147,-0.3755447508,1.020160531,0.0555555556,-2.0,0.0208333333,-20.5,0.0277777778,54.0,-20.0,-27.0,-29.0,10.0,12.0,16.0,20.0,29.0,3.0214530051,-0.2742326392,1.0518296412,0.8333333333,-0.0,13.7083333333,0.4208333333,2.0,-0.0118333333,-6.4583333333,5.25,0.11418439720000001,2.0,-0.0049527187,-2.4048463357,-16.0,12.0,0.1593423691,-1.1747285803,6.8,4.8,2.957167458,-0.5342113651,1.4414739569,0.1111111111,20.0,-0.0049348109,-0.0043246982,0.7222222222,21.0,15.0,13.0,13.0,23.0,18.0,26.0,21.0,18.0,12.0,14.0,10.0,21.0,14.0,29.0,-0.1875,317.0,-0.1333333333,39.0,3.8560195374,-0.4459035065,1.1551672011,0.8551724138000001,66.6666666667,-44.4444444444,-62.962962963,5.1666666667,4.75,23.0,20.0,31.0,21.0,25.0,33.0,0.9428571429,17.0,222.0,1.0,9.0,-19.0,19.0,0.6171309948,0.8,3.6,0.0017705286000000002,0.985546875,1.0,20.0,0.0028862039000000003,0.7222222222,-0.0063068791,0.5925925926,2.0,2.483891219,-0.4220920876,1.7691793912,-0.0416666667,-242.0,0.0,-35.0,-0.0416666667,-207.0,0.0208333333,42.0,4.0,2.4993333955,-0.365681809,1.4978411286,-228.3333333333,8.5,73.0,32.0,0.8888888889000001,0.8333333333,0.7777777778,0.875,-16.728030384,21.3130545978,0.6676807246,502.0,0.9747474747,0.9696969697000001,6.0,1.4289092607,-0.6145561285000001,1.4330461000999999,-0.1111111111,-223.5,0.0833333333,0.1666666667,0.5833333333,0.1666666667,71.0,0.7000000000000001,1.0,0.8,0.30000000000000004,0.1462449228,5.0341955662,-0.3083150479,0.912781355,-0.02,14.0,6.8,6.4,1.3755793138999999,-0.4922835313,1.1602492681,-247.6666666667,3.0597313702,-0.48369799430000004,1.4418211611,-204.5,-225.0,20.5,-33.0472222222,2.6531438635,-0.4402138369,1.7083881336000002,0.0,-111.0,3.5,4.0,3.5,2.0,5.0,2.9401416856,-0.4182966949,1.2281441844,8.0,30.1666666667,-16.0,3.4166666667,3.0,3.7777777778,3.0,3.5333333333,473.5,12.0,11.0,3184.5,51.0,0.6258949536,-0.1528096578,-27.0,-30.0,-36.0,-42.0,28.0,0.1779068063,0.4556380051
s011,2.0950808131,-0.3068188303,0.7947224533,3.2,-697.2222222222,-0.4,690.0,-1437.5714285714,-0.30000000000000004,365.0,3.4611126584000003,-0.4266553953,1.112401699,0.0,48.5,-0.0208333333,-96.0,-0.0555555556,62.5,-11.0,-15.0,-21.0,5.0,9.0,13.0,18.0,54.0,4.1801455157,-0.2855306784,1.0296447999,0.33333333330000003,-0.33333333330000003,5.3333333333,0.058333333300000005,1.0,-0.0026666667,-1.75,6.9130434783,0.130866426,3.0,-0.0025487365,-3.7931923672,-12.0,11.0,0.19393002980000001,-0.9515309845000001,7.9,9.8,2.1174880936,-0.3247737375,2.0130832801,0.0,-410.5,-0.21439344970000002,-0.21439344970000002,0.0,23.0,33.0,12.0,14.0,30.0,25.0,35.0,27.0,37.0,9.0,12.0,6.0,18.0,6.0,42.0,-0.0666666667,232.0,-0.125,-4.5,4.8807740103,-0.4555721189,1.0581899435,0.875,44.4444444444,-55.5555555556,-40.7407407407,6.0,2.0,40.0,39.0,34.0,22.0,23.0,57.0,0.8825396825,40.0,265.0,1.0,4.0,-16.0,16.0,0.7708899498,1.0,6.9,0.0016033788,0.8675750732,0.9,14.0,0.0018161934000000002,0.5833333333,-0.25,0.0,2.0,2.5925021887,-0.4737548595,1.6332123163,0.0,-208.0,0.0,-31.0,0.0,-177.0,0.0,-132.0,5.8,3.8905165248999998,-0.37222159050000003,1.1537379011,-262.5,8.0,84.0,48.0,0.8888888889000001,0.8666666667,0.8611111111,0.9687500000000001,-2.8238165613,6.297844058,0.2325498095,183.0,0.9899497487000001,0.9547738693000001,12.0,2.1740556185,-0.5861182065,1.6082879995,0.0,-348.0,0.75,0.9166666667000001,0.8333333333,0.9166666667000001,142.0,0.5,0.5,0.7000000000000001,0.1,0.0917039711,4.0930233218,-0.31197838580000004,1.1226713089,-0.04,-76.0,5.7,6.3,3.6177900349,-0.4670446173,1.2407122377,-226.3333333333,3.6335333508,-0.3927249792,1.2782023586,-241.0,-247.6666666667,6.6666666667,96.3097222222,4.2209058493,-0.4334223761,1.0788861572,-0.0208333333,-157.5,7.0,4.5,4.5,7.0,6.0,2.8526160854000002,-0.3553043188,1.2797579948,22.0,-2.5,-13.0,4.25,1.9,2.4444444444,1.4444444444,2.8666666667,574.5,11.0,8.0,1863.0,57.0,-0.43564870440000003,-0.3646431136,-17.0,-23.0,-24.0,-29.0,26.0,0.1925341667,0.2404360379
s012,2.9736689273,-0.40728765370000003,1.1547980923,3.25,-1377.6315789474,-0.36666666670000003,796.0,-466.1304347826,-0.2333333333,527.0,3.5392747464000003,-0.4515526197,1.0878351859,0.0,33.5,-0.0208333333,-77.0,-0.0555555556,139.0,-18.0,-18.0,-24.0,11.0,7.0,17.0,18.0,44.0,2.8838479142,-0.2433456746,1.4924729810000001,0.8333333333,-0.1666666667,5.6666666667,0.058333333300000005,2.0,-0.0086666667,-2.9166666667000003,3.9583333333,0.1687969925,3.0,-0.0115213033,-1.9323308271,-12.0,16.0,-0.3553490939,-0.7137797811000001,8.4,8.6,1.7959072168999999,-0.5596318314000001,1.3180656506,0.0,-93.0,-0.0341095196,-0.0228475268,0.1666666667,20.0,24.0,9.0,13.0,28.0,24.0,29.0,31.0,30.0,20.0,22.0,12.0,16.0,11.0,29.0,0.0,-20.0,0.0,-84.0,2.7786235684,-0.6490482780000001,1.8504354512,1.0,27.7777777778,-33.3333333333,-66.6666666667,2.0,5.25,32.0,25.0,33.0,21.0,10.0,32.0,0.6222222222,21.0,190.0,1.0,8.0,-17.0,15.0,0.6499261856,0.9,6.9,0.0010140799,1.0,1.0,25.0,0.0020015881,0.6666666667000001,-0.0063068791,0.18518518520000002,2.0,2.2476648075,-0.5683442518,1.5419273778,-0.0994708995,-93.0,0.055411255400000005,11.5,-0.1548821549,-104.5,-0.0022148394000000003,-167.5,3.4,2.7529438143,-0.399536901,0.9542806958000001,-331.6666666667,7.5,81.0,43.0,0.2777777778,0.5888888889,0.8055555556,2.9,22.3961352776,-17.3977445461,0.6264483412,489.0,0.9296482412,0.8592964824,15.0,1.4925545622,-0.6160327130000001,1.03208625,0.0,-18.5,0.5833333333,0.33333333330000003,1.0,0.8333333333,114.0,0.5,0.7000000000000001,0.6000000000000001,0.2,0.0590870111,2.4569393701,-0.19516411190000002,1.8702618005,-0.04,-10.0,5.9,6.0,3.1359721383,-0.3363470711,1.206703844,-301.0,2.3228019748,-0.38218392170000004,1.1306259472,-263.1666666667,-286.6666666667,23.5,9.8805555556,2.7405379834,-0.5174401246,1.3970400774,-0.0222016651,-151.5,3.5,5.5,4.0,2.5,3.0,2.1132804067,-0.38875739800000003,1.3849271458,21.0,18.1666666667,-47.5,4.3333333333,2.6,2.5555555556,1.5555555556,1.9333333333,835.5,10.0,8.0,3591.0,49.0,-0.6838735438,0.501551987,-19.0,-16.0,-28.0,-28.0,16.0,0.23654425440000001,0.1860625235
s017,1.4522057193,-0.31369892920000003,0.9719010629,2.0,-1219.9090909091,-0.2666666667,789.0,-432.6296296296,-0.1,550.0,3.1781090058,-0.3733279412,1.432888829,0.0,52.5,0.0208333333,-68.5,0.0277777778,121.0,-23.0,-20.0,-20.0,12.0,9.0,19.0,25.0,49.0,,,,0.6666666667000001,-0.1666666667,9.7083333333,0.10416666670000001,3.0,-0.011166666700000001,-2.125,7.9583333333,0.1894025605,3.0,-0.0077980085,-1.8536882747,-12.0,14.0,0.18364322830000002,-1.3700064956,9.3,7.6,2.1445519874,-0.4652045925,1.6578511887,0.0,-39.0,-0.0025469673,-0.0018730625000000002,0.8333333333,20.0,18.0,12.0,18.0,15.0,17.0,33.0,21.0,22.0,13.0,13.0,13.0,13.0,18.0,23.0,0.0625,479.0,0.0,102.5,2.4366903966,-0.6177941932000001,2.110101293,0.875,44.4444444444,-66.6666666667,-48.1481481481,4.5,5.5,19.0,22.0,30.0,23.0,22.0,46.0,0.8825396825,22.0,246.0,1.0,3.0,-19.0,22.0,0.767848587,0.9,9.7,0.0024491452000000003,0.98984375,1.0,22.7,0.0027049544,0.5833333333,-0.0063068791,0.9629629630000001,5.0,2.056560586,-0.4889910275,1.6697719619,-0.1034482759,-269.5,-0.03125,-71.0,-0.0721982759,-198.5,-0.0039584364,-154.0,3.5333333333,3.0898931538,-0.3848967252,1.2246991872,-293.1666666667,14.5,160.0,43.0,,,,,,,0.58484855,411.0,0.985,0.965,10.0,2.3136454661,-0.6811942905,1.4842322451,0.0,-312.5,0.6666666667000001,0.6666666667000001,0.9166666667000001,0.8333333333,130.0,0.1,0.8,0.4,0.7000000000000001,0.0676643665,3.4296911372,-0.3369419442,1.3398057336,-0.02,-42.5,6.5,5.6,3.6878270118,-0.4974554742,1.1056748136,-268.5,3.1690796431,-0.42062026080000003,1.1401959902,-250.3333333333,-295.0,44.6666666667,98.025,3.1135494813,-0.4662897654,1.2365782606,-0.0004432624,-211.5,7.0,7.0,4.5,2.0,4.5,2.1636958716,-0.4353596856,1.3728428771,1.5,-53.5,-38.0,4.5,3.5,4.3333333333,2.3333333333,2.4666666667,564.0,11.0,10.0,3871.5,47.0,-3.1094480307,2.7572274371,-21.0,-11.0,-20.0,-19.0,36.0,0.185612246,0.17430210710000002
s020,1.0467637216,-0.2798229245,0.9650285420000001,1.85,-564.7083333333,-0.2,610.0,-1060.7777777778,-0.1,340.0,2.3740983796,-0.3102921951,1.6126717534,-0.0285714286,-59.5,-0.044444444400000005,-109.0,0.0017316017000000002,27.5,-14.0,-22.0,-24.0,14.0,13.0,18.0,17.0,41.0,1.949121302,-0.2828068354,1.5369655396000002,0.6666666667000001,-0.33333333330000003,9.8333333333,0.4,1.0,-0.006,-1.9166666667,7.2916666667,0.0038725986000000003,0.0,-0.0009140546000000001,-0.8612740142,-13.0,17.0,-0.0335462443,-0.6750894226,7.5,5.2,1.5149431884,-0.6936926052,1.5828285120999999,-0.1111111111,106.5,-0.21411192210000002,-0.21411192210000002,0.0,12.0,13.0,11.0,11.0,23.0,23.0,23.0,32.0,26.0,16.0,14.0,15.0,12.0,14.0,21.0,-0.1333333333,302.5,-0.0625,-82.5,2.8068247923,-0.5241797958000001,1.1913956927,0.9034090909,38.8888888889,-44.4444444444,-55.5555555556,5.0,3.75,29.0,28.0,26.0,21.0,23.0,46.0,0.9111111111,30.0,122.0,1.0,7.0,-24.0,18.0,0.6603252411,0.8,7.8,0.0017003689000000002,0.7410667896,0.7000000000000001,9.9,0.0015159826000000001,0.47222222220000004,-0.0063068791,0.2592592593,1.0,2.3000679492,-0.5351278317,1.6920457934000002,-0.1842105263,-351.0,0.0,-141.0,-0.1842105263,-210.0,-0.0016611296000000001,-54.5,3.9333333333000002,2.4643207729,-0.414017699,1.3617281665,-285.6666666667,33.0,36.5,43.0,0.47222222220000004,0.5,0.47222222220000004,1.0,7.5589484363,-6.9972845250999995,0.6229103774,477.5,0.9329896907,0.9742268041000001,8.0,1.1136799138,-0.5701888717,1.5784229344,-0.1078431373,-287.5,0.5833333333,0.8333333333,0.5833333333,0.5833333333,100.5,0.4,0.8,0.5,0.2,0.0501444983,2.3620018362,-0.427101689,1.6476787776,0.02,46.5,6.3,5.7,1.7535298762,-0.4113871578,1.2423697331,-286.3333333333,2.2225308225,-0.4207424115,1.1635147995,-240.0,-361.3333333333,121.3333333333,18.3513888889,2.422889341,-0.4036034231,1.2850423074,-0.0638297872,-160.0,5.5,6.0,6.5,5.5,4.5,1.2937192247,-0.4410564782,1.368694247,6.0,7.1666666667,-100.0,2.9166666667000003,2.3,3.7777777778,2.7777777778,3.4666666667,972.0,7.0,6.0,2947.0,58.0,0.594460772,-0.1424756482,-19.0,-21.0,-26.0,-35.0,28.0,0.1805794197,0.3909019375
s026,1.3532832002,-0.306563234,0.8853084720000001,2.0,-874.0833333333,-0.2,263.0,-333.875,-0.2,489.0,3.6382980694000002,-0.4396521266,0.8618024571,0.0,-6.5,0.0,-4.5,0.0,23.0,-13.0,-17.0,-24.0,11.0,8.0,18.0,19.0,51.0,5.8234491023,-0.3477041037,0.6683015907000001,0.6666666667000001,-0.1666666667,13.25,0.025,1.0,0.001,-2.75,10.0833333333,0.0009003215,0.0,-0.0002593783,-0.07395498390000001,-12.0,12.0,-0.2888881723,-0.9523625263000001,9.8,7.1,1.8964309416,-0.4851009906,1.2644253056,0.0,-29.5,-0.0011607035,-0.0017214019,0.8888888889000001,16.0,24.0,9.0,12.0,15.0,28.0,24.0,24.0,27.0,15.0,11.0,9.0,11.0,7.0,24.0,0.0,25.5,0.0,-7.5,4.5921719238000005,-0.7591510405,0.9725045562,0.9886363636000001,33.3333333333,-33.3333333333,-22.2222222222,5.0,6.0,32.0,30.0,39.0,20.0,20.0,36.0,0.8158730159,29.0,206.0,1.0,8.0,-16.0,15.0,0.5657946467,0.6000000000000001,2.1,0.0019503946,1.0,1.0,24.5,0.0027379268,0.4444444444,-0.0063068791,0.7407407407000001,6.0,2.5412516559,-0.5079266711,1.1148889318,-0.1111111111,-94.0,-0.0555555556,-45.0,-0.0555555556,-49.0,-0.0281007752,-23.0,4.7333333333,,,,,,,46.0,0.5294117647000001,0.5060240964,0.5428571429,1.0253968254,0.1370712978,0.31936615890000003,0.57614781,469.0,0.9899497487000001,0.9597989950000001,13.0,1.5365707728,-0.596058094,1.3326381574,0.0,73.0,0.6666666667000001,0.9166666667000001,0.8333333333,0.8333333333,142.0,0.2,0.2,0.2,0.0,0.0421807819,4.5628126969,-0.3052697219,1.0070805346,-0.04,-38.5,6.1,4.5,4.0075229288,-0.3754242367,0.7069737078,-314.6666666667,3.4442207553,-0.4052158636,1.0238485786,-189.6666666667,-236.6666666667,47.0,26.9041666667,3.0634092401,-0.3959453012,1.256817911,0.0,-53.0,5.5,6.0,7.0,4.0,4.0,2.3141535742,-0.3339836565,1.7394488143,-34.0,-31.1666666667,-78.0,4.0,2.1,3.8888888889,1.7777777778,2.6,836.5,8.0,7.0,2254.0,61.0,-1.0122824975,0.9634923334000001,-19.0,-17.0,-21.0,-19.0,18.0,0.1857878768,0.14822084630000001
